,time,PubIncome
,2014-08-06 00:00:00,0.002
,2014-08-07 00:00:00,0.007
,2014-08-08 00:00:00,0.007
,2014-08-09 00:00:00,0.006
,2014-08-10 00:00:00,0.005
,2014-08-11 00:00:00,0.010
,2014-08-12 00:00:00,0.008
,2014-08-13 00:00:00,0.004
,2014-08-14 00:00:00,0.003
,2014-08-15 00:00:00,0.001
,2014-08-16 00:00:00,0.001
,2014-08-17 00:00:00,0.001
,2014-08-18 00:00:00,0.002
,2014-08-19 00:00:00,0.003
,2014-08-20 00:00:00,0.001
,2014-08-21 00:00:00,0.001
,2014-08-22 00:00:00,0.001
,2014-08-23 00:00:00,0.001
,2014-08-24 00:00:00,0.001
,2014-08-25 00:00:00,0.001
,2014-08-26 00:00:00,0.001
TOTAL,,0.06700000000000002
