,time,TOTAL REQUEST,TOTAL IMPRESSION
,2014-08-06 00:00:00,16,16
,2014-08-07 00:00:00,20346,20346
,2014-08-08 00:00:00,60,60
,2014-08-09 00:00:00,14,14
,2014-08-10 00:00:00,61,61
,2014-08-11 00:00:00,66,66
,2014-08-12 00:00:00,52,52
,2014-08-13 00:00:00,61,61
,2014-08-14 00:00:00,69,69
,2014-08-15 00:00:00,60,60
,2014-08-16 00:00:00,60,60
,2014-08-17 00:00:00,60,60
,2014-08-18 00:00:00,10,10
,2014-08-19 00:00:00,38,38
,2014-08-20 00:00:00,60,60
,2014-08-21 00:00:00,60,60
,2014-08-22 00:00:00,60,60
,2014-08-23 00:00:00,60,60
,2014-08-24 00:00:00,60,60
,2014-08-25 00:00:00,60,60
,2014-08-26 00:00:00,60,60
TOTAL,,21393,21393
